#hist
BinCentre(pA)	BinMin(pA)	BinMax(pA)	Counts
565.602104722	565.3661	565.838109444	4
566.074114167	565.838109444	566.310118889	4
566.546123611	566.310118889	566.782128333	6
567.018133056	566.782128333	567.254137778	6
567.4901425	567.254137778	567.726147222	10
567.962151944	567.726147222	568.198156667	29
568.434161389	568.198156667	568.670166111	39
568.906170833	568.670166111	569.142175556	77
569.378180278	569.142175556	569.614185	164
569.850189722	569.614185	570.086194444	276
570.322199167	570.086194444	570.558203889	440
570.794208611	570.558203889	571.030213333	693
571.266218056	571.030213333	571.502222778	1176
571.7382275	571.502222778	571.974232222	1845
572.210236944	571.974232222	572.446241667	2919
572.682246389	572.446241667	572.918251111	4433
573.154255833	572.918251111	573.390260556	6904
573.626265278	573.390260556	573.86227	9985
574.098274722	573.86227	574.334279444	14641
574.570284167	574.334279444	574.806288889	20603
575.042293611	574.806288889	575.278298333	28024
575.514303056	575.278298333	575.750307778	37237
575.9863125	575.750307778	576.222317222	48019
576.458321944	576.222317222	576.694326667	59202
576.930331389	576.694326667	577.166336111	71156
577.402340833	577.166336111	577.638345556	81988
577.874350278	577.638345556	578.110355	89957
578.346359722	578.110355	578.582364444	94758
578.818369167	578.582364444	579.054373889	95589
579.290378611	579.054373889	579.526383333	91100
579.762388056	579.526383333	579.998392778	83439
580.2343975	579.998392778	580.470402222	71806
580.706406944	580.470402222	580.942411667	58679
581.178416389	580.942411667	581.414421111	44947
581.650425833	581.414421111	581.886430556	32433
582.122435278	581.886430556	582.35844	21985
582.594444722	582.35844	582.830449444	13791
583.066454167	582.830449444	583.302458889	8333
583.538463611	583.302458889	583.774468333	4938
584.010473056	583.774468333	584.246477778	2777
584.4824825	584.246477778	584.718487222	1878
584.954491944	584.718487222	585.190496667	1593
585.426501389	585.190496667	585.662506111	1696
585.898510833	585.662506111	586.134515556	1919
586.370520278	586.134515556	586.606525	2419
586.842529722	586.606525	587.078534444	3159
587.314539167	587.078534444	587.550543889	3869
587.786548611	587.550543889	588.022553333	4640
588.258558056	588.022553333	588.494562778	5641
588.7305675	588.494562778	588.966572222	7114
589.202576944	588.966572222	589.438581667	8543
589.674586389	589.438581667	589.910591111	10553
590.146595833	589.910591111	590.382600556	13172
590.618605278	590.382600556	590.85461	16469
591.090614722	590.85461	591.326619444	21095
591.562624167	591.326619444	591.798628889	26826
592.034633611	591.798628889	592.270638333	33913
592.506643056	592.270638333	592.742647778	43540
592.9786525	592.742647778	593.214657222	54304
593.450661944	593.214657222	593.686666667	67115
593.922671389	593.686666667	594.158676111	80833
594.394680833	594.158676111	594.630685556	96432
594.866690278	594.630685556	595.102695	110450
595.338699722	595.102695	595.574704444	123276
595.810709167	595.574704444	596.046713889	132734
596.282718611	596.046713889	596.518723333	139788
596.754728056	596.518723333	596.990732778	141668
597.2267375	596.990732778	597.462742222	138239
597.698746944	597.462742222	597.934751667	129831
598.170756389	597.934751667	598.406761111	117803
598.642765833	598.406761111	598.878770556	102277
599.114775278	598.878770556	599.35078	85075
599.586784722	599.35078	599.822789444	67378
600.058794167	599.822789444	600.294798889	50797
600.530803611	600.294798889	600.766808333	36619
601.002813056	600.766808333	601.238817778	25119
601.4748225	601.238817778	601.710827222	16094
601.946831944	601.710827222	602.182836667	9903
602.418841389	602.182836667	602.654846111	5676
602.890850833	602.654846111	603.126855556	3159
603.362860278	603.126855556	603.598865	1574
603.834869722	603.598865	604.070874444	825
604.306879167	604.070874444	604.542883889	329
604.778888611	604.542883889	605.014893333	144
605.250898056	605.014893333	605.486902778	71
605.7229075	605.486902778	605.958912222	23
606.194916944	605.958912222	606.430921667	7
606.666926389	606.430921667	606.902931111	3
607.138935833	606.902931111	607.374940556	1
607.610945278	607.374940556	607.84695	1
#corr_range_0
#corr_range_1
