#hist
BinCentre(pA)	BinMin(pA)	BinMax(pA)	Counts
1.20114744002e-11	1.18628801077e-11	1.21600686927e-11	2
1.23086629852e-11	1.21600686927e-11	1.24572572777e-11	1
1.26058515702e-11	1.24572572777e-11	1.27544458627e-11	2
1.29030401552e-11	1.27544458627e-11	1.30516344477e-11	8
1.32002287402e-11	1.30516344477e-11	1.33488230327e-11	7
1.34974173252e-11	1.33488230327e-11	1.36460116177e-11	13
1.37946059102e-11	1.36460116177e-11	1.39432002027e-11	19
1.40917944952e-11	1.39432002027e-11	1.42403887878e-11	39
1.43889830803e-11	1.42403887878e-11	1.45375773728e-11	44
1.46861716653e-11	1.45375773728e-11	1.48347659578e-11	47
1.49833602503e-11	1.48347659578e-11	1.51319545428e-11	71
1.52805488353e-11	1.51319545428e-11	1.54291431278e-11	77
1.55777374203e-11	1.54291431278e-11	1.57263317128e-11	97
1.58749260053e-11	1.57263317128e-11	1.60235202978e-11	93
1.61721145903e-11	1.60235202978e-11	1.63207088828e-11	88
1.64693031753e-11	1.63207088828e-11	1.66178974678e-11	89
1.67664917603e-11	1.66178974678e-11	1.69150860528e-11	82
1.70636803453e-11	1.69150860528e-11	1.72122746378e-11	77
1.73608689303e-11	1.72122746378e-11	1.75094632228e-11	73
1.76580575153e-11	1.75094632228e-11	1.78066518078e-11	91
1.79552461003e-11	1.78066518078e-11	1.81038403928e-11	67
1.82524346853e-11	1.81038403928e-11	1.84010289778e-11	104
1.85496232703e-11	1.84010289778e-11	1.86982175629e-11	115
1.88468118554e-11	1.86982175629e-11	1.89954061479e-11	120
1.91440004404e-11	1.89954061479e-11	1.92925947329e-11	168
1.94411890254e-11	1.92925947329e-11	1.95897833179e-11	196
1.97383776104e-11	1.95897833179e-11	1.98869719029e-11	245
2.00355661954e-11	1.98869719029e-11	2.01841604879e-11	301
2.03327547804e-11	2.01841604879e-11	2.04813490729e-11	327
2.06299433654e-11	2.04813490729e-11	2.07785376579e-11	330
2.09271319504e-11	2.07785376579e-11	2.10757262429e-11	328
2.12243205354e-11	2.10757262429e-11	2.13729148279e-11	310
2.15215091204e-11	2.13729148279e-11	2.16701034129e-11	312
2.18186977054e-11	2.16701034129e-11	2.19672919979e-11	288
2.21158862904e-11	2.19672919979e-11	2.22644805829e-11	248
2.24130748754e-11	2.22644805829e-11	2.25616691679e-11	213
2.27102634604e-11	2.25616691679e-11	2.28588577529e-11	198
2.30074520454e-11	2.28588577529e-11	2.3156046338e-11	136
2.33046406305e-11	2.3156046338e-11	2.3453234923e-11	111
2.36018292155e-11	2.3453234923e-11	2.3750423508e-11	91
2.38990178005e-11	2.3750423508e-11	2.4047612093e-11	77
2.41962063855e-11	2.4047612093e-11	2.4344800678e-11	45
2.44933949705e-11	2.4344800678e-11	2.4641989263e-11	39
2.47905835555e-11	2.4641989263e-11	2.4939177848e-11	27
2.50877721405e-11	2.4939177848e-11	2.5236366433e-11	26
2.53849607255e-11	2.5236366433e-11	2.5533555018e-11	20
2.56821493105e-11	2.5533555018e-11	2.5830743603e-11	34
2.59793378955e-11	2.5830743603e-11	2.6127932188e-11	47
2.62765264805e-11	2.6127932188e-11	2.6425120773e-11	67
2.65737150655e-11	2.6425120773e-11	2.6722309358e-11	86
2.68709036505e-11	2.6722309358e-11	2.7019497943e-11	118
2.71680922355e-11	2.7019497943e-11	2.7316686528e-11	161
2.74652808205e-11	2.7316686528e-11	2.76138751131e-11	194
2.77624694056e-11	2.76138751131e-11	2.79110636981e-11	265
2.80596579906e-11	2.79110636981e-11	2.82082522831e-11	326
2.83568465756e-11	2.82082522831e-11	2.85054408681e-11	396
2.86540351606e-11	2.85054408681e-11	2.88026294531e-11	441
2.89512237456e-11	2.88026294531e-11	2.90998180381e-11	541
2.92484123306e-11	2.90998180381e-11	2.93970066231e-11	612
2.95456009156e-11	2.93970066231e-11	2.96941952081e-11	664
2.98427895006e-11	2.96941952081e-11	2.99913837931e-11	774
3.01399780856e-11	2.99913837931e-11	3.02885723781e-11	811
3.04371666706e-11	3.02885723781e-11	3.05857609631e-11	870
3.07343552556e-11	3.05857609631e-11	3.08829495481e-11	841
3.10315438406e-11	3.08829495481e-11	3.11801381331e-11	811
3.13287324256e-11	3.11801381331e-11	3.14773267181e-11	801
3.16259210106e-11	3.14773267181e-11	3.17745153031e-11	775
3.19231095956e-11	3.17745153031e-11	3.20717038882e-11	759
3.22202981807e-11	3.20717038882e-11	3.23688924732e-11	699
3.25174867657e-11	3.23688924732e-11	3.26660810582e-11	620
3.28146753507e-11	3.26660810582e-11	3.29632696432e-11	569
3.31118639357e-11	3.29632696432e-11	3.32604582282e-11	460
3.34090525207e-11	3.32604582282e-11	3.35576468132e-11	413
3.37062411057e-11	3.35576468132e-11	3.38548353982e-11	291
3.40034296907e-11	3.38548353982e-11	3.41520239832e-11	252
3.43006182757e-11	3.41520239832e-11	3.44492125682e-11	232
3.45978068607e-11	3.44492125682e-11	3.47464011532e-11	173
3.48949954457e-11	3.47464011532e-11	3.50435897382e-11	125
3.51921840307e-11	3.50435897382e-11	3.53407783232e-11	100
3.54893726157e-11	3.53407783232e-11	3.56379669082e-11	60
3.57865612007e-11	3.56379669082e-11	3.59351554932e-11	39
3.60837497857e-11	3.59351554932e-11	3.62323440782e-11	37
3.63809383707e-11	3.62323440782e-11	3.65295326633e-11	28
3.66781269558e-11	3.65295326633e-11	3.68267212483e-11	24
3.69753155408e-11	3.68267212483e-11	3.71239098333e-11	7
3.72725041258e-11	3.71239098333e-11	3.74210984183e-11	2
3.75696927108e-11	3.74210984183e-11	3.77182870033e-11	4
3.78668812958e-11	3.77182870033e-11	3.80154755883e-11	3
3.81640698808e-11	3.80154755883e-11	3.83126641733e-11	1
